"","1_the_astral","2_astral_light","3_kabbalistic_tarot","4_magnetic_sleep","5_seance","6_progression","Other_1","Other_2","Other_3","Other_4","Other_5","Other_6","Other_7","Other_8","Other_9","Other_10","Other_11","Other_12","Other_13","Other_14","Other_15","Other_16","Other_17","Other_18","Other_19","Other_20","Other_21","Other_22","Other_23","Other_24","Other_25","Other_26","Other_27","Other_28","Other_29","Other_30","Other_31","Other_32","Other_33","Other_34","Other_35","Other_36","Other_37","Other_38","Other_39","Other_40","Other_41","Other_42","Other_43","Other_44","Other_45","Other_46","Other_47","Other_48","Other_49","Other_50","Other_51","Other_52","Other_53","Other_54","Other_55","Other_56","Other_57","Other_58","Other_59","Other_60","Other_61","Other_62","Other_63","Other_64","Other_65","Other_66","Other_67","Other_68","Other_69","Other_70","Other_71","Other_72","Other_73","Other_74","Other_75","Other_76","Other_77","Other_78","Other_79","Other_80","Other_81","Other_82","Other_83","Other_84","Other_85","Other_86","Other_87","Other_88","Other_89","Other_90","Other_91","Other_92"
"1","be","be","be","be","be","be","be","soil","be","animal","be","be","keely","cain","gold","tower","sea","be","instrument","be","be","jesus","water","be","child","will","be","star","be","genius","man","year","be","brain","be","be","school","be","game","be","god","most","st","be","m","devil","make","be","be","be","nation","section","be","color","be","be","be","be","be","magnetism","marshal","have","cat","english","be","be","hahn","be","be","cell","be","cure","be","temple","thee","day","memory","be","be","be","be","have","have","observation","be","church","globe","sephiroth","catholic","be","be","tree","publish","society","be","be","love","be"
"2","one","light","book","have","have","have","inhabitant","individual","have","magnetism","particle","magic","heat","knowledge","be","babel","wave","divine","voice","circle","form","christ","great","have","day","be","arcanum","angel","must","vespasian","one","be","divination","ass","have","have","materialism","prophecy","music","blood","gods","woman","evocation","very","recamier","mr","name","roll","rose","love","age","stanza","letter","adele","god","seven","man","paul","have","animal","de","body","eye","fakir","soul","serpent","room","have","have","life","reason","be","white","hiram","shall","year","path","egg","have","question","labor","year","be","hindû","saint","same","other","form","roman","person","planet","where","work","theosophical","water","tree","queen","buddha"
"3","have","force","have","state","will","form","portion","labor","heaven","science","great","great","genius","tree","process","member","use","one","can","point","earth","joseph","mountain","see","mother","may","X1st","say","fire","speech","karma","have","nervous","dimension","nation","say","modern","occurrence","play","magic","show","whole","name","have","minute","young","have","theory","current","wisdom","temple","v.","snow","white","angel","moon","would","write","science","mesmer","spectrum","other","lion","grain","ego","head","kern","would","can","seven","one","touch","red","master","lord","moon","symbol","symbol","author","do","interest","be","ego","zodiac","de","teaching","chain","X3","form","woman","sun","garden","year","one","must","seed","world","esoteric"
"4","man","universal","number","when","do","nature","time","must","do","fact","sun","secret","of","woman","mercury","not","seabrook","adept","note","triangle","have","john","jacque","adele","girl","must","card","empire","should","cup","destiny","one","must","mandragore","language","see","simply","matthew","body","black","name","mad","magical","man","des","read","year","fly","genius","beauty","river","arcana","line","true","being","mother","nation","epistle","fact","de","nebula","chemical","corpse","three","life","god","dog","mind","see","microbe","science","many","hand","templar","holy","period","error","gods","race","man","would","even","delaage","sign","comte","christ","earth","number","call","witch","body","flower","spiritualist","theosophy","word","branch","court","buddhism"
"5","call","matter","word","sleep","spirit","mind","know","mechanic","earth","most","motion","science","contraction","beast","silver","convert","nastatia","self","sound","four","animal","when","fire","do","woman","one","represent","fall","symbol","denier","action","time","medicine","legend","many","when","clue","prophesy","perispirit","sorcerer","egyptian","paris","priest","see","voice","de","write","dawn","dante","divine","use","absolute","use","black","gods","earth","have","manuscript","theory","discovery","gille","atom","machate","tongue","man","fire","door","divine","one","oxygen","absolute","fit","head","city","hast","month","brain","egyptian","esquiro","answer","reward","ancient","bewitchment","motion","secret","christian","sylph","ten","church","bewitchment","other","building","receive","member","m","root","husband","teaching"
"6","seven","body","two","magnetic","can","exist","continent","invention","v","academy","circle","king","prove","abel","alchemy","build","experience","will","postel","pyramid","exist","st","height","say","two","interest","first","apply","one","precious","make","hundred","imagination","shameful","history","mr","morya","circumstance","sound","death","osiris","pay","grandier","long","insensible","mirville","promise","golden","epic","sphere","word","iv.","hebrew","hair","create","one","world","difference","evidence","science","raiz","lightning","vampire","officer","personality","heaven","samuel","many","clairvoyante","theory","faith","person","foot","de","thine","week","perception","worship","mapah","m","should","such","calumny","epoch","theosophist","roman","g","X4","prayer","cure","motion","go","entitle","theosophist","then","kwan","forest","buddhist"
"7","plane","form","one","person","more","cause","asia","manifest","god","theory","produce","love","discover","de","lead","officer","king","higher","tune","line","species","sabbath","break.","year","night","association","sign","light","colour","anupâdaka","way","period","practice","cortical","earth","come","psychology","concern","m","crime","vishnu","powder","de","say","hotel","priest","old","sir","fool","spirit","sun","second","variation","eye","demon","first","interest","new","phenomena","treatment","nebulæ","precipitate","four","follow","manas","earth","piece","concern","do","material","god","physician","black","do","dost","epoch","daitya","god","read","ask","poor","event","monk","twelve","save","master","jechiel","six","vâch","witchcraft","system","grow","second","money","paper","fruit","ephod","doctrine"
"8","first","sun","name","one","one","will","island","interest","see","report","system","initiation","failure","fruit","sulphur","suicide","hexagram","consciousness","phenomena","egg","period","birth","revolution","m","young","society","arcana","sky","water","stone","then","thousand","occult","apuleius","concern","night","dynasty","jesus","harmony","assume","indion","poison","bishop","rather","dieu","woman","adept","william","postel","beautiful","king","numa","lie","lady","word","also","social","apostle","do","same","two","find","dead","flame","spiritual","represent","youth","jesus","will","fiery","stone","dr","sign","le","son","sun","delusion","egypt","narrative","know","thus","modern","sorcerer","determine","germain","catholic","salamander","represent","sound","possess","planets","land","society","do","glass","yin","high","religion"
"9","only","life","great","see","other","man","nation","wealth","X1","scientific","form","come","atomic","organ","call","late","gulf","kether","kwan","square","more","dream","excessive","ask","boy","should","therefore","thee","element","emperor","absolute","four","system","android","tribe","hear","examination","thing","card","sabbath","purâna","philtre","saint","wear","husson","word","word","volume","gold","earth","greek","x","intellectual","dress","name","have","society","church","truth","many","line","strike","sword","silver","body","satan","floor","teaching","say","tissue","must","disease","colour","assassin","father","X7","reminiscence","ancient","balzac","can","laborer","hindû","answer","star","cagliostro","faith","gnome","X2","worship","judge","earth","beautiful","present","work","iron","spirit","river","school"
"10","say","one","work","time","man","principle","find","feel","tell","member","have","world","vessel","fourth","pillar","stone","yi","man","psychic","one","other","de","deep","very","wife","wisdom","letter","morning","use","gold","law","day","animal","X_golden","inhabitant","go","century","prophet","instrument","child","deity","fix","church","hair","X1820","possession","m","order","luther","society","parable","subba","ice","complexion","devil","female","nature","luke","may","paris","madame","solution","dog","grave","one","goat","castle","believe","place","germinal","religion","other","seem","danger","name","time","fourier","mystery","satan","abbe","wealth","egyptian","wood","ptolemy","come","religion","undine","letter","christian","accuse","satellite","construct","other","brotherhood","present","germ","road","orientalist"
"11","matter","fire","four","very","only","law","north","association","there","medical","suns","mystery","etheric","weak","alchemist","chest","door","then","yin","measure","formation","peter","move","one","look","justice","idea","begin","place","diamond","eternity","seven","means","gland","primitive","tell","witch","king","envelope","magical","hindû","revolution","nun","suffer","saint","m","box","regardie","apuleius","affection","mount","row","way","age","angels","son","peace","mark","scientific","publish","sister","molecule","hebert","dos","consciousness","dragon","quietly","world","desire","plasm","man","king","blue","sword","heaven","calculation","plane","water","satanic","adele","may","history","ananda","degree","xvii","teach","rabbi","X5","holy","burn","orbit","be","theosophist","enq","put","grow","street","brâhman"
"12","spirit","nature","tarot","say","would","thing","tribe","machinery","how","professor","law","magical","gland","prayer","transmutation","summit","ocean","lully","play","ratio","element","sovereign","tide","tell","little","individual","X2nd","gaffarel","four","josephus","harmony","two","art","series","speak","bed","idealism","many","separate","magician","veda","reproduce","devil","large","moxa","demon","day","note","tissot","forth","valley","xi","north","woman","father","water","truth","john","prove","m","question","pastor","philinnium","four","so","name","wolf","testament","answer","fermentation","shall","also","form","tribunal","wind","reign","picture","sun","alphonse","will","present","know","invent","nation","claim","unknown","class","sephira","kind","torture","have","wall","few","founder","write","flower","jerusalem","secret"
"13","universe","astral","symbol","day","so","thus","race","study","then","case","contain","church","hidden","newton","chemistry","nowhere","link","raymund","melody","diameter","become","temporal","molay","make","house","various","centre","alexander","spirit","conceal","paramârtha","six","paracelsus","basin","account","could","arena","say","skill","horror","primeval","fool","magic","good","put","doctor","author","vision","poet","flower","yuga","vi.","cold","dark","jehovah","day","then","much","admit","academie","plant","yttrium","hair","wick","animal","fiery","together","lord","tell","destruction","philosophy","report","cross","conceal","thy","new","recollection","sacr","would","put","class","astronomical","wander","borrow","peasant","power","draw","three","vaikharî","bewitch","particle","father","volume","karma","let","plant","precipice","system"
"14","even","earth","figure","then","when","one","year","art","when","physic","worlds","woman","j","shalt","severity","driver","sail","lower","place","mathematical","substance","faith","carry","age","daughter","then","X6th","lucifer","take","plant","course","million","magnetism","breathing","present","appear","minority","isaiah","dice","middle","adam","projection","possess","mouth","line","lust","thousand","willibe","war","life","abyss","divine","polar","countenance","christian","man","prejudice","receive","opinion","conduct","castle","cannon","ring","president","say","devil","glass","bible","material","half","truth","lord","gold","emperor","glory","lunar","battle","greek","proceed","name","must","century","penny","job","X.germain","doctrine","elementary","upper","verb","king","more","de","publication","true","fly","develop","majesty","work"
"15","so","element","first","place","may","world","western","amount","good","evidence","center","faith","philadelphia","mighty","teach","copy","phantasy","neschamah","hypnotism","geometrical","water","saviour","depth","appear","vintra","human","h","hell","five","quartz","invisible","mile","oil","spawn","other","do","get","speak","performance","criminal","brahmâ","vampire","chain","eye","signal","ministry","talk","page","crowd","child","hath","realization","daleth","papers","archangel","number","ignorance","writing","many","doctrine","laval","tbe","dare","curiious","personal","angel","field","christ","thought","contract","true","most","wear","period","bless","scale","upward","fire","enshrin","should","education","record","objection","determination","school","priest","b","refer","protestants","afflict","solar","ark","follow","practical","stick","principle","abode","very"
"16","physical","science","secret","same","life","can","destroy","devote","thought","commissioner","still","name","flow","paul","regard","svâmi","monotonous","sephiroth","concert","element","present","long","brahma","know","small","desire","house","wrath","seven","prâna","decree","age","sorcerer","larger","early","room","classical","person","figure","hallucination","esoteric","narcotic","cardinal","must","samson","page","paper","occultist","ros","celestial","hell","xi.","imagination","wear","light","become","earth","letter","present","member","tower","councillor","face","never","death","sun","chamber","new","would","commence","say","england","crown","cross","shalt","trithemius","remembrance","also","pre.adamic","v","mechanic","greek","blavatsky","therefore","louis","protestant","e","second","greek","remedy","saturn","spot","thanks","duty","bottle","animal","flower","call"
"17","nature","water","key","body","make","perfect","china","farmer","angel","modern","formation","such","web","vincent","metal","dayanand","ship","tiphereth","verbum","number","now","observe","side","would","room","group","term","justina","air","seal","punish","three","confidence","stick","become","again","negative","child","musical","fool","identical","gipsy","sword","ask","pinch","greek","weakness","include","hilarion","heaven","commandment","vii","disappear","flaxen","church","circle","moral","testament","conclusion","france","state","ball","lamp","general","call","symbol","lime","write","know","prudent","philosophical","majesty","robe","solomon","shal","key","saxons","show","well","apparition","community","period","devils","point","lascaris","claim","d","kether","four","guilty","density","forest","french","hear","side","three","orbit","initiate"
"18","evolution","motion","three","could","god","so","europe","other","form","favour","develop","seek","horse","brother","metals","sarasvatî","shore","spiritual","ad","side","vegetable","priesthood","raise","think","blood","industry","septenary","reign","rod","alexandria","polar","twenty","insufflation","poisons","expression","house","monism","sign","musician","sorcery","relate","street","peter","small","pistol","keely","wolf","astronomer","circle","also","lord","xiv.","influence","surely","heaven","call","sectarian","council","even","public","reveal","engine","burial","die","can","black","mysterious","very","appear","bacteria","analogy","royal","then","companion","prayer","mark","distort","temple","sir","wish","feel","fact","cock","tribe","concern","remark","convulsionary","crown","latin","cry","great","rue","t","personal","rod","being","paris","text"
"19","divine","produce","form","take","say","whole","central","conceal","place","atom","heat","priesthood","vampire","wheel","genii","pale","caribbean","ruach","peace","equilateral","new","report","destruction","person","white","happiness","take","finish","earth","vase","inner","hour","substance","sombre","various","man","train","jeremiah","petit","describe","dead","teller","loudun","dark","unknown","dictionary","dupotet","lecture","count","see","tribe","lastly","gerbert","coat","darkness","time","thus","canonical","not","school","bright","osborn","man","shilling","immortal","image","lift","should","earth","pasteur","word","attest","hair","palace","forth","X4","pledge","bird","scroll","come","association","now","blot","position","circle","sect","circle","binah","ceremony","disease","jupiter","desfontaine","support","fellow","there","trunk","hallucination","scholar"
"20","become","say","represent","patient","must","spiritual","africa","possession","desire","new","planet","father","motor","strong","coin","usually","probably","ray","raison","three","portion","jewish","high","gentleman","priest","thus","X4th","celestial","represent","treasure","paranishpanna","half","dangerous","pyramidal","portion","time","samuel","herod","gipsy","murder","black","triumph","emperor","head","nostril","le","hay","enochian","daring","behold","darkness","equator","moon","wrinkle","satan","male","exist","faith","true","operation","journey","castle","tomb","maharajah","divine","lion","distinctly","judgment","ask","ferment","resurrection","such","face","dagger","seven","exact","quote","moon","forth","give","general","most","madame","year","martin","grade","centre","X6","noun","physician","force","temple","text","call","ad","contain","valley","wisdom"
"21","esoteric","soul","letter","so","see","may","america","demand","body","matter","sphere","religion","atmosphere","lead","protoplasm","struck","transformation","great","transference","ring","atmosphere","master","desert","so","bed","love","apply","inaugurate","ray","ace","web","eight","water","characterise","also","look","training","quote","melody","player","religion","odour","die","nose","insensibility","torture","people","later","de","thought","sect","taylor","sun","large","devils","sun","other","gospel","subject","hamsa","machecoul","tree","lover","precaution","self","hell","childhood","suppose","give","musical","know","greatrak","side","legend","thought","past","fight","sacred","magnetism","reply","industry","b.c.","solitaire","X1491","templar","pardon","equal","triad","protestant","then","same","mountain","member","humanity","fénelon","have","king","exoteric"
