"","1_the_astral","2_astral_light","3_kabbalistic_tarot","4_magnetic_sleep","5_seance","6_progression","Other_1","Other_2","Other_3","Other_4","Other_5","Other_6","Other_7","Other_8","Other_9","Other_10","Other_11","Other_12","Other_13","Other_14","Other_15","Other_16","Other_17","Other_18","Other_19","Other_20","Other_21","Other_22","Other_23","Other_24","Other_25","Other_26","Other_27","Other_28","Other_29","Other_30","Other_31","Other_32","Other_33","Other_34","Other_35","Other_36","Other_37","Other_38","Other_39","Other_40","Other_41","Other_42","Other_43","Other_44","Other_45","Other_46","Other_47","Other_48","Other_49","Other_50","Other_51","Other_52","Other_53","Other_54","Other_55","Other_56","Other_57","Other_58","Other_59","Other_60","Other_61","Other_62","Other_63","Other_64","Other_65","Other_66","Other_67","Other_68","Other_69","Other_70","Other_71","Other_72","Other_73","Other_74","Other_75","Other_76","Other_77","Other_78","Other_79","Other_80","Other_81","Other_82","Other_83","Other_84","Other_85","Other_86","Other_87","Other_88","Other_89","Other_90","Other_91","Other_92","Other_93","Other_94","Other_95","Other_96","Other_97","Other_98","Other_99","Other_100","Other_101","Other_102","Other_103","Other_104","Other_105","Other_106","Other_107","Other_108","Other_109"
"1","be","be","be","be","be","be","be","be","card","be","lully","tree","faith","language","be","city","shall","circle","france","four","be","dream","religion","be","be","symbol","be","be","angel","ammonius","be","year","cure","man","soul","be","age","hand","society","be","be","be","one","simon","de","de","vintra","science","ass","would","be","human","be","be","love","memory","be","be","will","word","serpent","will","spirit","be","be","now","be","be","tree","come","be","word","most","be","school","be","be","man","paul","be","have","form","be","nebula","be","be","be","magnetism","be","jacque","be","year","magnetism","be","be","pope","be","gold","be","be","be","be","life","being","be","section","goat","be","one","be","shall","be","be","genius","cure"
"2","one","light","have","have","have","have","earth","have","player","great","raymund","be","christian","one","die","temple","fact","be","recamier","element","nation","mother","charity","book","reason","brain","serpent","animal","church","use","have","period","basket","make","be","sun","teach","head","have","priest","planet","say","symbol","be","marshal","le","reign","modern","mother","association","magic","be","god","have","thee","earth","dream","have","place","water","four","image","be","hundred","priesthood","even","red","god","such","take","water","thought","physician","buddha","spiritualist","judge","number","jupiter","civilization","epoch","origin","be","god","conceal","man","have","will","animal","jesus","king","truth","zodiac","magnetic","room","mose","magic","have","be","do","see","fit","book","ego","god","manas","roll","dog","god","keely","measure","bull","must","have","say","touch"
"3","seven","matter","word","state","do","nature","have","house","magian","motion","goddess","branch","church","idea","grandier","command","instead","line","sorcerer","point","have","child","system","speak","faith","sensation","head","form","thee","hebrew","veda","time","where","adam","body","planet","be","dead","do","de","sun","paper","use","east","kumâra","crutch","emperor","professor","contraction","labor","sorcerer","animal","christ","can","king","six","would","say","man","emperor","harmony","longer","water","year","world","year","white","show","flower","see","fire","language","paris","day","philosophy","people","card","work","epistle","hindû","treasure","vegetable","death","monotonous","have","adele","interest","science","have","hiram","book","star","operation","door","lord","adept","science","stone","have","have","mr","believe","personality","attribute","soul","stanza","sabbath","evil","X7","system","earth","should","fact","journal","many"
"4","plane","force","science","when","will","form","element","future","oracle","form","catherine","root","religion","word","burn","destroy","three","point","cagliostro","card","inhabitant","image","absolute","prophecy","science","force","water","species","god","letter","esoteric","day","impulse","first","spirit","year","yuga","heart","theosophical","saint","motion","spirit","dawn","north","gille","des","vespasian","scientific","contract","will","such","life","church","clairvoyante","angel","thing","event","see","body","secret","music","no","great","thousand","king","such","colour","gods","grain","day","egg","sound","doctor","world","best","crime","represent","right","faith","observation","teaching","animal","force","spectrum","would","very","labor","member","christ","companion","spiritual","sign","cure","hear","would","prayer","theory","mercury","heaven","do","touch","many","one","human","ego","golden","mende","good","other","ratio","lion","magical","evidence","deadly","king"
"5","man","universal","great","sleep","spirit","law","water","case","organ","produce","théot","fruit","divine","use","loudun","jonah","illusion","triangle","country","game","portion","magic","franc","many","absolute","know","woman","exist","catholic","disciple","orientalist","solar","greatrak","let","man","earth","esoteric","body","member","name","particle","mr","experience","west","raiz","paul","name","knowledge","apuleius","must","bewitchment","soul","father","see","light","reminiscence","occurrence","when","how","magnetize","head","dare","sun","day","true","scientific","black","moon","plant","where","symbol","expression","doe","period","street","tribunal","first","destiny","nation","have","subject","mineral","devil","insensibility","world","say","must","medical","book","master","many","egyptian","mesmer","open","israelite","black","modern","metals","see","say","witch","write","individuality","demon","principle","kwan","animal","man","manifest","author","thee","blood","many","quintessence","publish"
"6","first","one","name","magnetic","one","will","substance","show","blood","positive","isis","flower","most","god","nun","much","matter","figure","everywhere","play","tribe","black","de","concern","believe","sphere","moon","have","master","plotinus","purâna","event","pencil","creation","animal","seven","cycle","child","theosophist","cure","body","see","materialism","line","sister","support","event","teaching","heart","may","woman","being","say","question","star","remembrance","prophecy","mr","material","let","two","treasure","earth","three","magic","more","blue","one","oak","two","god","express","game","year","fourier","sentence","X4","left","breth","year","speculation","perfect","reason","spiridion","nation","see","society","discovery","write","solomon","concern","antiquity","treatment","hahn","day","sorcerer","now","must","earth","tell","three","contain","death","bad","man","dawn","devil","thought","produce","snow","sphinx","evocation","magnetism","contrary","majesty"
"7","call","have","secret","time","can","mind","atmosphere","h","stomach","exist","forth","grow","spiritual","three","papers","abomination","wheel","diameter","sell","same","other","demon","atheist","would","man","fire","dragon","more","angels","system","sanskrit","claim","write","image","plato","have","ancient","breast","work","church","other","lie","pythagorean","space","castle","saint","fatality","medium","breath","soil","magical","lower","satan","will","genius","thirteen","circumstance","come","image","write","pillar","empire","temple","period","science","hear","yellow","mother","seed","write","holy","form","lord","bodhisattva","bacon","church","arcana","venus","subterranean","motion","superstition","kingdom","seek","preparation","mind","ask","one","new","new","templar","would","persian","conduct","night","tribe","christian","work","process","v","brother","grain","testament","consciousness","eternity","âtmâ","fly","victim","would","etheric","now","four","salt","science","latin","royal"
"8","only","science","two","person","when","man","formation","give","pyramid","power","robespierre","seed","consciousness","term","king","vengeance","beheld","square","portrait","member","earth","infernal","train","king","philosophy","then","foot","class","roman","genii","brâhman","prophecy","lord","then","say","planets","greek","woman","theosophy","comte","satellite","soul","decimal","group","postel","samuel","blind","religious","flame","interest","most","difference","hell","do","eternal","depend","future","night","heaven","bottle","fiery","silent","good","two","priest","theosophy","fire","symbol","stone","second","idea","use","almost","say","roger","secret","X3","genius","congregation","moon","theological","degree","blood","traveller","social","man","should","fact","testament","osborn","mind","worship","magnetiser","house","israel","woman","teaching","work","tell","mother","pyramid","resurrection","so","could","spiritual","page","lion","work","tree","well","air","day","report","theban","person"
"9","have","body","number","one","more","can","form","member","deal","matter","alchemist","great","kether","meaning","possession","lord","several","side","magician","tabernacle","many","sabbath","seat","have","analogy","physical","cat","earth","christian","sacca","buddhism","kalpa","letter","read","principle","moon","great","vampire","many","st","density","sphere","levi","south","black","moxa","host","deny","expand","manufacturer","black","instinct","christian","m","reign","recollection","foretell","hear","ever","lest","brazen","must","love","hour","sacrifice","century","ray","egyptian","leave","name","creative","idea","m","have","jerusalem","jew","X10","saturn","affection","must","theology","world","equilibrium","gas","prejudice","m","may","report","account","molay","divine","heaven","publication","noise","book","emperor","present","transmutation","one","ask","increase","manuscript","soul","word","kwan","book","beast","spirit","create","mapah","water","operation","witness","philostratus","gold"
"10","divine","element","one","very","other","so","particle","figure","when","contain","preside","plant","christ","mean","accuse","succeed","aspiration","equal","boil","five","period","phantom","moksha","history","religion","vision","form","very","michael","memory","vishnu","delaage","gift","beast","manas","other","philosopher","arm","money","promise","great","number","psychology","mr","tower","organ","sect","ancient","golden","establishment","magician","force","word","answer","glory","come","sign","tell","appear","transformation","cherubim","progress","moon","month","empire","occultism","then","son","palm","go","become","vocal","bishop","dhyâni","classical","cry","will","mar","commercial","period","blouet","matter","cain","oil","sectarian","appear","thus","physician","year","chief","world","constellation","medical","have","many","sovereign","even","sulphur","can","child","dos","record","say","eternal","vehicle","volume","rite","exist","eart","pay","eagle","rod","animal","vessel","queen"
