"","1_occultism","2_tarot","3_astral_light","4_magnetic_sleep","5_spiritualism","6_progress","Other_1","Other_2","Other_3","Other_4","Other_5","Other_6","Other_7","Other_8","Other_9","Other_10","Other_11","Other_12","Other_13","Other_14","Other_15","Other_16","Other_17","Other_18","Other_19","Other_20","Other_21","Other_22","Other_23","Other_24","Other_25","Other_26","Other_27","Other_28","Other_29","Other_30","Other_31","Other_32","Other_33","Other_34","Other_35","Other_36","Other_37","Other_38","Other_39","Other_40","Other_41","Other_42","Other_43","Other_44","Other_45","Other_46","Other_47","Other_48","Other_49","Other_50"
"1","kabbalah","tarot","astral.light","animal.magnetism","human.being","progression","direct.opposition","great.tree","other.world","good.spirit","analogy.of.contrary","vital.principle","inhabitant.of.the.earth","divine.mind","human.being","vital.fuid","sitting","law.of.motion","outer.world","vegetable.kingdom","first.society","animal.magnetism","spirit.of.charity","human.mind","great.deal","present.system","nervous.system","one.day","great.center","human.being","human.being","three.time","great.sun","only.one","human.race","present.day","human.race","spiritual.sun","year.of.age","second.sphere","primitive.history","poor.man","few.day","animal.magnetism","animal.kingdom","human.form","many.person","portion.of.the.earth","tradition","new.testament","divine.mind","state.of.somnambulism","nervous.disease","thousand.mile","physical.life","de.medecine"
"2","tradition","kabbalah","black.magic","magnetic.state","spiritism","progress","polar.bear","same.principle","de.paul","primitive.history","harmony.result","same.time","catherine.théot","divine.love","physical.world","angel.of.light","evil.spirit","first.principle","external.form","animal.kingdom","third.society","divine.mind","jesus.christ","other.word","pacific.ocean","amount.of.labor","human.being","young.man","solar.system","progress","tradition","same.time","great.center","many.other","human.form","primitive.history","social.world","concentric.circle","sitting","nerve.of.sensation","present.day","same.law","whole.face","clairvoyance","portion.of.the.earth","divine.mind","form.of.worship","present.day","human.being","high.degree","many.thing","old.man","great.man","clairvoyance","inferior.spirit","many.year"
"3","great.work","card.of.the.tarot","universal.agent","magnetic.sleep","progress","incarnation","violent.death","early.history","organic.life","great.water","result.from.the.analogy","high.bailiff","other.nation","divine.essence","world.of.spirit","own.accord","spiritual.world","word.soul","material.thing","lower.form","book.of.king","fact.of.animal","same.time","divine.mind","three.day","six.day","whole.body","dark.spirit","infinite.space","period.of.time","human.intelligence","same.moment","circle.of.suns","four.year","other.hand","inhabitant.of.the.earth","whole.race","higher.state","little.girl","solar.system","old.testament","mother.of.god","few.minute","man.of.science","present.day","second.sphere","successive.life","evil.spirit","whole.universe","teaching.of.nature","primitive.history","state.of.coma","certain.case","word.of.god","law.of.nature","progress"
"4","great.arcanum","first.card","same.time","magnetic.influence","physical.life","reincarnation","animal.magnetism","principle.of.nature","vincent.de","thousand.year","eternal.life","material.body","first.principle","positive.mind","organic.being","earthly.paradise","first.volume","principle.of.nature","interior.essence","animal.creation","human.race","fact.of.animal.magnetism","good.faith","mind.of.man","many.century","book.of.mark","inferior.state","evil.spirit","positive.mind","different.degree","living.being","own.image","infinite.space","one.evening","such.thing","tradition","one.thing","dry.land","gray.hair","real.cause","new.testament","human.being","last.moment","scientific.man","solar.system","particle.of.matter","such.thing","other.portion","great.spirit","spiritual.world","present.time","young.man","own.part","four.year","moral.law","poor.man"
"5","occult.science","minor.arcana","great.work","year.of.age","good.spirit","positive.mind","natural.phenomena","principle.of.morality","same.manner","evil.spirit","work.of.god","sheet.of.paper","madame.de","human.mind","inert.matter","physical.influence","material.body","principle.of.life","higher.degree","outer.world","magical.secret","north.london","old.man","immutable.law","gulf.of.mexico","world.at.the.present.day","lower.extremity","next.day","planetary.system","light.of.the.sun","present.day","two.woman","great.body","young.woman","human.soul","divine.mind","divine.mind","spiritual.world","one.day","proof.of.the.existence","portion.of.the.earth","divine.creation","great.distance","present.day","inhabitant.of.the.earth","human.world","same.amount","dry.land","little.finger","great.deal","human.soul","good.god","two.body","eight.year","imminent.danger","academie.royale"
"6","philosophical.stone","hebrew.letter","plastic.medium","magnetic.fluid","free.will","first.cause","science.of.equilibrium","old.testament","future.existence","other.nation","divine.ideal","same.thing","reciprocal.action","same.time","vital.principle","word.of.god","few.question","tree.of.righteousness","interior.cause","particle.of.matter","right.hand","london.hospital","short.time","portion.of.the.world","destruction.of.jerusalem","book.of.matthew","divine.name","one.night","eternal.motion","et.seq","long.time","sign.of.the.cross","great.mass","same.result","same.time","present.time","whole.world","new.form","seven.year","present.state","human.race","highest.reason","elementary.spirit","mode.of.treatment","watery.element","spiritual.essence","human.race","high.degree","good.spirit","material.form","human.society","human.body","different.period","period.of.revolution","many.thing","two.column"
"7","black.magic","major.arcana","nervous.system","nervous.system","human.race","human.being","other.case","history.of.mankind","nature.of.man","sanskrit.language","material.life","same.idea","distinct.nation","divine.wisdom","other.time","side.by.side","clairvoyance","son.of.god","divine.mind","human.organization","lower.society","personal.observation","one.side","sectarian.prejudice","forty.day","right.path","X4.colour","last.night","immensity.of.space","two.spirit","other.man","creation.of.man","solar.system","divine.person","two.kind","early.inhabitant","mind.of.man","new.creation","long.time","hundred.franc","human.family","whole.system","length.of.time","favour.of.animal","lower.order","mineral.kingdom","healthy.person","new.system","other.person","human.form","higher.sphere","drespect.e","animal.magnetism","new.testament","immortality.of.the.soul","few.year"
"8","same.time","key.of.the.tarot","universal.life","several.time","spirit.world","law.of.nature","one.man","present.generation","great.law","modern.day","highest.degree","two.child","jewish.nation","higher.sphere","progress","hebrew.letter","year.of.age","own.nature","perfect.representative","animal.world","highest.society","many.other","catholic.church","four.hour","royal.touch","other.person","sanguine.temperament","mrs..h","great.vortex","such.case","force.of.nature","law.of.nature","fifth.circle","same.order","spiritual.sphere","old.testament","universal.peace","human.being","little.boy","absolute.necessity","true.religion","son.of.man","four.hour","favour.of.animal.magnetism","face.of.the.earth","inner.life","seven.o.clock","form.of.expression","same.reason","word.of.god","distributive.justice","little.patient","hilarion.tissot","brilliant.light","first.class","many.other"
"9","progress","astrology","second.sight","somnambulic.state","corporeal.life","higher.sphere","same.means","nineteenth.century","spiritual.nature","nineteenth.century","holy.book","immortality.of.the.soul","early.writer","spiritual.sphere","earthly.life","hieroglyphic.meaning","three.year","general.law","real.reality","perfect.form","fourth.sphere","spiritual.eye","dark.spirit","whole.world","de.krudener","one.man","mucious.surface","white.spirit","distance.from.the.sun","intelligent.principle","whole.world","nine.day","human.mind","impure.spirit","human.knowledge","mental.faculty","own.nature","material.sun","old.man","evident.proof","book.of.job","human.body","electric.fluid","nervous.system","animal.creation","law.of.association","own.image","vocal.communication","celestial.purity","great.power","structure.of.the.universe","one.side","old.age","decisive.experiment","little.importance","young.prince"
"10","one.day","hebrew.alphabet","astral.body","magnetic.operation","human.life","human.mind","effect.of.animal","divine.wisdom","name.of.science","primitive.nation","wild.beasts","property.of.matter","principle.of.reason","spiritual.principle","external.world","first.day","same.time","animal.kingdom","medium.of.communication","human.form","future.event","other.hand","mrs..h","atmosphere.of.light","opposite.side","least.particle","extraordinary.phenomena","good.faith","other.world","essential.attribute","material.element","white.spirit","immutable.law","father.of.the.church","ag.of.the.world","first.inhabitant","individual.interest","ganglionic.system","thirty.year","science.of.magnetism","progress","human.existence","face.of.nature","royale.de","perfect.form","department.of.nature","spiritual.body","eastern.tribe","cornelius.agrippa","possible.use","great.deal","human.being","new.life","thirty.year","state.of.the.soul","twenty.year"
