"","1_occultism","2_tarot","3_astral_light","Other_1","Other_2","Other_3","Other_4","Other_5","Other_6","Other_7","Other_8","Other_9","Other_10","Other_11","Other_12","Other_13","Other_14","Other_15","Other_16","Other_17","Other_18","Other_19","Other_20","Other_21","Other_22","Other_23","Other_24","Other_25","Other_26","Other_27","Other_28","Other_29","Other_30","Other_31","Other_32","Other_33","Other_34","Other_35","Other_36","Other_37","Other_38","Other_39","Other_40","Other_41","Other_42","Other_43","Other_44","Other_45","Other_46","Other_47","Other_48","Other_49","Other_50"
"1","kabbalah","tarot","astral.light","middle.ag","kabbalah","divine.name","philosophical.stone","one.day","black.magic","tarot","tradition","one.day","young.man","tarot","tradition","universal.medicine","great.work","occult.science","same.moment","kabbalah","same.thing","hieroglyphic.meaning","astral.light","human.mind","three.person","universal.life","true.religion","human.head","tradition","black.magic","one.side","X4.colour","one.day","form.of.worship","great.work","second.time","free.judge","good.faith","thousand.time","supernatural.world","own.day","tradition","spirit.of.charity","one.day","kabbalah","material.world","tradition","tarot","tradition","royal.art","kabbalah","old.man","three.time"
"2","occult.science","kabbalah","same.time","will.of.man","good.sense","law.of.nature","great.work","kingdom.of.heaven","magical.operation","human.body","kabbalah","very.essence","first.place","three.word","human.life","key.of.basil","grand.master","other.hand","indefinite.progress","one.thing","supreme.reason","spirit.of.darkness","same.word","tradition","mother.of.god","great.law","true.adept","final.word","tree.of.life","incarnation","other.hand","great.arcana","son.of.god","magical.operation","occult.philosophy","man.of.genius","point.of.view","same.manner","jesus.christ","spiritualism","empty.chalice","magical.tradition","incarnation","little.while","sacred.word","harmoney.of.nature","old.serpent","other.hand","common.people","little.finger","tradition","tarot","dead.person"
"3","occultism","same.time","nervous.system","own.part","secret.society","such.case","perpetual.motion","human.life","three.worlds","perfect.word","earthly.paradise","principle.of.reason","human.life","three.term","same.way","wise.man","goat.of.mende","holy.spirit","human.knowledge","star.of.solomon","one.hand","nine.day","incarnation","force.of.nature","highest.reason","universal.soul","spirit.of.charity","four.letter","antique.initiation","one.day","spirit.of.light","harmony.result","whole.world","white.light","first.matter","female.pope","own.part","king.of.france","same.time","one.find","abbe.charvoz","great.arcanum","jesus.christ","hand.of.god","kabbalistic.key","extreme.unction","two.child","X2nd.septenary","word.of.truth","sacerdotal.art","eternal.life","professor.of.magic","polar.bear"
"4","alchemy","first.card","plastic.medium","one.side","black.magic","essential.law","universal.medicine","last.word","magical.work","supreme.reason","absolute.truth","first.principle","great.power","point.of.view","grand.hierophant","two.pillars","supreme.reason","golden.fleece","magical.secret","two.force","universal.harmony","same.order","black.magic","idle.word","one.god","vital.light","tradition","active.principle","great.man","history.of.magic","spirit.of.darkness","X4.letter","word.of.god","unique.force","black.magic","great.thing","universal.religion","public.opinion","one.day","own.time","magical.rod","ether","three.person","great.criminal","old.world","physical.world","good.faith","same.way","right.hand","kabbalah","universal.equilibrium","golden.ass","wise.man"
"5","first.time","major.arcana","universal.agent","dead.body","young.girl","magical.calendar","great.arcanum","true.science","kabbalistic.sign","single.figure","four.rivers","angel.of.light","old.woman","elementary.form","universal.life","twelve.key","work.of.science","st.john","human.omnipotence","first.substance","small.number","low.voice","order.of.nature","middle.ag","human.intelligence","ancient.magi","magical.work","sacred.name","kabbalah","jean.jacque","natural.order","kabbalah","madame.de","magical.chain","other.word","dead.rise","whole.world","temple.of.solomon","sacred.fire","master.in.magic","great.prophet","holy.ghost","name.of.god","dear.sir","high.priest","seven.planets","grand.hierophant","right.hand","high.priest","few.word","transcendental.magic","great.crime","occult.sciences"
"6","astrology","minor.arcana","astral.body","second.time","middle.age","calendar.of.tycho","cubic.stone","word.of.man","horizontal.line","three.worlds","kabbalistic.tradition","son.of.man","public.opinion","holy.spirit","law.of.nature","same.hour","negative.pole","first.series","magical.dogma","emerald.tablet","universal.analogy","bloody.sacrifice","spring.of.water","occult.force","profession.of.faith","harmony.result","human.genius","law.of.nature","tree.of.knowledge","large.number","universal.creation","universal.equilibrium","astral.light","catholic.priest","precious.stone","great.crime","philosophy.of.history","many.other","altar.of.perfume","saint..germain","whole.length","magical.initiation","law.of.equilibrium","apostle.st","true.initiate","seven.colour","own.accord","great.mystery","false.gnostic","magical.equilibrium","universal.science","supreme.reason","magical.secret"
"7","tradition","point.of.view","great.work","law.of.nature","incarnation","rosy.cross","young.man","little.child","grand.hierophant","few.page","other.word","thing.of.science","magical.allegory","philosophical.cross","later.period","grand.copht","positive.pole","great.work","elementary.spirit","absolute.negation","own.part","one.night","same.cause","black.magic","universal.church","mystery.of.dogma","eternal.law","law.of.creation","child.of.israel","three.day","great.magic","two.power","twelve.year","magical.ceremony","great.arcanum","single.man","old.world","entire.world","three.magi","comte.de","urbain.grandier","great.work","X1.degree","eternal.truth","tradition","seven.note","holy.spirit","two.pillars","transcendent.magic","eternal.reason","certain.case","ass.of.apuleius","st.paul"
"8","tarot","great.work","second.sight","human.being","world.of.spirit","one.day","hermetic.science","word.of.god","seven.spirit","exact.proportion","uncreated.light","thing.of.faith","great.epic","three.letter","power.of.nature","great.arcanum","blazing.star","transcendent.magic","sacred.number","second.sight","eternal.death","only.one","human.blood","sin.of.adam","object.of.faith","right.side","noble.heart","simple.letter","school.of.alexandria","three.part","certain.man","analogy.of.contrary","word.of.truth","one.blow","four.element","good.faith","discernment.of.spirit","great.arcanum","thirty.year","american.spiritualism","apostate.priest","king.of.thebe","X2.degree","spirit.of.perversity","three.part","sun.of.truth","last.word","one.hand","two.word","absolute.liberty","whole.world","wand.of.circe","first.place"
"9","same.time","one.hand","elementary.spirit","old.age","little.child","supreme.secret","history.of.magic","eternal.hope","young.woman","two.triangles","two.tree","first.place","golden.fleece","movement.of.life","terrestrial.atmosphere","other.word","idea.of.god","same.order","universal.synthesis","veritable.adept","own.reflection","white.disks","same.sign","virtuous.man","holy.spirit","public.worship","divine.love","kabbalah","admirable.symbol","middle.ag","breath.of.life","absolute.law","only.son","own.heart","school.of.alexandria","magical.element","hermetic.philosophy","seal.of.solomon","domain.of.intelligence","direct.writing","old.priest","first.part","X3.degree","penalty.of.death","occult.sciences","disciple.of.zoroaster","great.prophet","intelligible.world","magical.work","absolute.truth","one.day","general.key","such.being"
"10","absolute.science","kabbalistic.alphabet","black.magic","human.flesh","horrible.rite","law.of.equilibrium","goat.of.mende","image.of.god","same.result","second.advent","profanation.of.science","human.race","second.part","two.principle","one.wish","four.word","henry.khunrath","hermetic.magic","transcendent.science","common.reservoir","middle.ag","hand.of.man","human.shape","later.period","moral.life","first.idea","unity.of.god","four.animal","sacr.book","essential.light","blind.faith","human.conception","seven.star","quantity.of.matter","ancient.initiation","present.stupidity","secret.tribunal","whole.world","christian.sacerdotalism","mysterious.knocking","eighteenth.century","elixir.of.life","third.term","light.of.day","true.science","material.element","first.christian","two.sphinx","mortal.life","impure.spirit","secondary.cause","highest.degree","wild.beast"
