"","1_magnetic_sleep","2_seance","Other_1","Other_2","Other_3","Other_4","Other_5","Other_6","Other_7","Other_8","Other_9","Other_10","Other_11","Other_12","Other_13","Other_14","Other_15","Other_16","Other_17","Other_18","Other_19","Other_20","Other_21","Other_22","Other_23","Other_24","Other_25","Other_26","Other_27","Other_28","Other_29","Other_30","Other_31","Other_32","Other_33","Other_34","Other_35","Other_36","Other_37","Other_38","Other_39","Other_40","Other_41","Other_42","Other_43","Other_44","Other_45","Other_46","Other_47","Other_48","Other_49","Other_50","Other_51","Other_52","Other_53","Other_54","Other_55","Other_56","Other_57","Other_58","Other_59","Other_60","Other_61","Other_62","Other_63","Other_64","Other_65","Other_66","Other_67","Other_68","Other_69","Other_70","Other_71","Other_72","Other_73","Other_74","Other_75","Other_76","Other_77","Other_78","Other_79","Other_80","Other_81","Other_82","Other_83","Other_84","Other_85","Other_86","Other_87","Other_88","Other_89","Other_90"
"1","magnetic.state","sitting","eighteen.month","divine.mind","poor.man","manifestation","primitive.history","progress","manifestation","divine.law","apparition","manifestation","white.spirit","thousand.mile","animal.magnetism","physical.law","solar.system","own.nature","three.day","great.body","human.soul","vegetable.kingdom","spiritual.world","whole.world","nervous.system","divine.mind","divine.mind","young.man","progress","animal.magnetism","divine.love","important.truth","hundred.year","portion.of.the.earth","second.sight","little.girl","three.time","second.sphere","watery.element","nervous.system","progression","present.day","spiritual.sphere","progression","outer.world","progression","primitive.history","present.day","tradition","dark.spirit","degree.of.refinement","manifestation","human.being","present.time","general.law","other.world","new.testament","present.day","human.being","manifestation","apparition","evil.spirit","apparition","manifestation","evil.spirit","new.testament","manifestation","positive.power","progress","state.of.coma","nineteenth.century","human.being","clairvoyance","seven.day","spiritism","great.center","human.being","old.testament","human.being","particle.of.matter","new.testament","history.of.the.earth","great.number","word.soul","great.man","positive.mind","celestial.sphere","progression","animal.magnetism","human.being","thousand.year","spiritism"
"2","magnetic.sleep","apparition","period.of.time","old.testament","present.system","law.of.nature","divine.mind","good.spirit","same.effect","spiritism","year.of.age","one.fact","next.day","human.world","present.day","physical.constitution","infinite.space","human.thought","first.time","centrifugal.force","outer.world","animal.kingdom","human.form","peace.on.earth","inner.world","human.form","royal.touch","one.minute","human.being","magnetic.phenomena","different.place","human.being","pit.of.the.stomach","other.portion","incarnation","thirty.year","clairvoyance","higher.sphere","portion.of.the.earth","organ.of.the.body","manifestation","primitive.history","circle.of.suns","external.form","mineral.world","divine.mind","other.nation","same.class","different.opinion","one.o.clock","inhabitant.of.earth","higher.sphere","spiritual.eye","general.term","man.on.earth","three.year","jewish.nation","whole.world","progress","manifestation.of.nature","vital.principle","master","several.time","field.of.science","apparition","human.body","certain.degree","natural.result","first.society","human.race","human.mind","one.day","painful.existence","do.magnetisme","manifestation","great.sun","material.body","divine.mind","future.life","human.form","same.time","superficial.evidence","direct.opposition","son.of.god","progress","great.positive.mind","whole.body","first.cause","progress","human.race","great.power","manifestation"
"3","animal.magnetism","first.volume","highest.point","principle.of.nature","amount.of.labor","different.species","tradition","corporeal.life","great.mass","same.manner","sitting","first.stage","dark.spirit","perfect.form","early.history","book.of.king","positive.mind","progress","good.god","elliptic.orbit","free.will","progression","human.being","human.race","spiritual.world","outer.world","general.sense","same.manner","human.race","fact.of.animal","divine.wisdom","progress","eastern.world","good.spirit","clairvoyance","year.of.age","natural.sphere","material.existence","dry.land","many.person","inherent.property","evil.spirit","essential.property","law.of.progression","higher.degree","higher.sphere","true.conception","hundred.year","higher.order","mrs..h","subsequent.age","social.world","common.sense","solar.system","physical.constitution","apparition","manifestation","inhabitant.of.the.earth","physical.life","immutable.law","such.apparition","good.spirit","same.place","peculiar.mode","many.time","human.race","same.degree","organic.life","third.society","same.time","present.day","existence.of.the.soul","departure.from.this.globe","many.person","human.mind","progression","free.will","form.of.expression","material.life","human.organization","divine.mind","same.description","poor.man","vital.principle","higher.society","animal.kingdom","human.society","manifestation","medical.man","other.world","previous.species","spiritist"
"4","state.of.somnambulism","one.day","lowest.point","primitive.history","new.system","external.manifestation","inhabitant.of.the.earth","same.time","element.of.the.spirit","like.manner","one.day","many.thing","last.night","solar.system","magnetic.fluid","lower.part","great.positive.mind","one.system","other.man","physical.influence","material.thing","perfect.form","spiritual.sun","tree.of.righteousness","part.of.the.body","human.mind","lord.spake","young.woman","intellectual.progress","fact.of.animal.magnetism","only.person","animal.kingdom","great.deal","tradition","material.state","clairvoyant","organic.being","inner.life","face.of.the.earth","magnetic.effect","animal.existence","material.form","first.circle","whole.form","like.manner","natural.law","material.element","animal.form","conventional.law","seven.day","outward.expression","other.word","inferior.state","other.being","human.existence","long.time","book.of.mark","nature.of.man","good.spirit","human.race","same.time","spiritual.world","several.year","various.mode","such.thing","word.of.god","human.being","great.positive.power","second.sphere","other.world","tradition","same.time","grand.system","one.night","same.time","concentric.circle","order.spirit","other.writer","spiritism","perfect.form","evil.spirit","electrical.influence","same.degree","vital.fuid","last.moment","first.cause","condition.of.thing","general.law","nervous.system","progress","one.thousand.year","human.being"
"5","magnetic.influence","clairvoyance","inconceivable.period","new.testament","one.man","universal.law","human.race","apparition","other.man","future.life","gray.hair","many.other","middle.of.the.room","period.of.revolution","history.of.animal","divine.mind","rotary.motion","motive.power","existence.of.demon","same.medium","whole.system","present.day","human.soul","great.tree","intellectual.nature","positive.mind","character.of.the.divine","few.day","moral.progress","french.academy","world.of.spirit","other.existence","left.side","present.day","own.eye","long.time","drespect.e","progression","various.part","physical.effect","essential.quality","spiritual.world","second.circle","material.universe","mode.of.existence","human.mind","proper.conception","vegetable.development","other.purpose","nine.o.clock","spiritual.world","individual.interest","personification.of.evil","human.being","lowest.degree","state.of.innocence","many.thing","same.time","spirit.world","form.in.the.animal","short.time","good.angel","one.person","sectarian.faith","human.form","distributive.justice","point.of.view","present.condition","physical.makeup","little.patient","thousand.year","other.life","teaching.of.nature","journal.do","natural.death","immensity.of.space","same.thing","rudimental.state","human.law","form.in.nature","divine.power","other.fact","mode.of.operating","other.spirit","other.life","lower.order","human.organization","great.law","magnetic.operation","same.time","same.order","common.sense"
"6","clairvoyance","material.body","thousand.year","possible.use","own.image","distinct.nation","one.language","other.spirit","divine.mind","two.way","spiritual.world","certain.case","many.thing","thousand.miles","history.of.animal.magnetism","moral.law","sixth.circle","external.appearance","name.v","external.world","power.of.action","animal.creation","human.race","will.to.man","perfect.adaptation","spiritual.sun","character.of.the.divine.mind","three.hour","natural.law","soul.of.man","perfect.order","nineteenth.century","new.testament","face.of.the.earth","such.experiment","four.hour","spiritual.sphere","ultimate.perfection","other.substance","light.of.the.sun","various.part","old.age","mind.of.man","own.existence","degree.of.development","degree.of.refinement","other.part","present.era","eastern.tribe","o.clock.in.the.evening","whole.universe","primitive.history","young.man","mind.of.man","social.condition","whole.eternity","six.day","own.mind","free.will","law.of.nature","two.year","god.v","mrespect.p.","court.of.justice","similar.fact","four.hour","degree.of.knowledge","attractive.power","divine.plan","one.person","manifestation","present.day","cause.to.effect","vital.power","moral.world","great.mass","bad.one","mental.power","natural.law","lower.form","book.of.the.new.testament","answer.to.this.question","mature.examination","ten.commandment","happy.one","cause.of.all.thing","inhabitant.of.saturn","same.principle","man.of.science","incarnation","degree.of.development","spirit.communication"
"7","somnambulic.state","year.of.age","other.side","subsequent.generation","lower.extremity","such.thing","progress","course.of.time","greater.amount","progression","old.man","animal.creation","same.thing","distance.from.the.sun","lower.spirit","new.testament","planetary.system","physical.organ","sight.of.god","other.body","suggestion.of.love","lower.order","other.thing","divine.mind","peculiar.character","great.positive.mind","spiritual.body","later.period","law.of.nature","magnetical.phenomena","member.of.the.academy","organic.being","golden.rule","great.water","such.spirit","same.instant","time.aday","ultimate.sphere","whole.mass","same.sort","higher.degree","sphere.of.knowledge","fifth.circle","manifestation","lower.form","human.race","intellectual.attainment","animal.kingdom","highest.respect","bright.form","interior.truth","atmosphere.of.light","material.form","man.on.earth","condition.of.man","same.age","primitive.history","divine.principle","reincarnation","higher.sphere","other.people","short.time","old.man","physical.sensibility","many.thing","thousand.year","high.degree","principle.of.organic.life","superior.wisdom","one.word","mind.of.mankind","new.one","one.day","magnetic.influence","good.deal","general.principle","lower.order","other.person","social.standing","animal.world","first.book","past.life","sense.of.justice","mechanical.principle","better.life","human.world","mineral.kingdom","law.of.progression","public.hospital","human.life","magnetic.needle","spiritualism"
"8","magnetic.somnambulism","same.time","essential.quality","book.of.genesis","proportion.to.the.amount","clairvoyance","early.inhabitant","divine.justice","second.state","moral.principle","young.girl","external.form","dark.one","mineral.kingdom","abbe.faria","love.of.god","eternal.sun","animal.existence","supreme.being","general.class","great.system","portion.of.the.earth","future.life","world.of.mankind","outer.to.the.inner.world","solar.system","hundred.year","two.hour","moral.nature","magnetic.somnambule","other.day","irresistible.conviction","six.hundred.year","present.time","violent.death","few.word","natural.world","grosser.matter","body.of.water","many.thing","face.of.the.earth","certain.kind","same.goal","other.process","animal.world","legitimate.result","absolute.knowledge","higher.order","early.generation","apparition","chemical.analysis","mind.of.man","old.man","spiritual.truth","hereditary.affection","little.angel","same.principle","christian.religion","spiritism","human.family","piece.of.paper","divine.light","second.time","one.thing","own.judgment","brotherly.kindness","scientific.knowledge","mental.constitution","human.being","immortality.of.the.soul","human.species","intellectual.development","superior.heaven","remarkable.example","one.moment","system.of.worlds","good.angel","third.person","great.moral.reformer","spiritual.existence","great.deal","more.person","superior.circumstance","material.life","new.life","proper.understanding","mental.organization","principle.of.spirit","de.medecine","natural.law","human.type","existence.of.spirit"
"9","natural.state","few.day","less.heat","other.hand","system.of.practice","divine.mind","present.day","other.word","law.of.nature","wisdom.of.god","last.time","inevitable.consequence","divine.intention","vegetable.creation","such.person","twelve.year","general.law","organic.life","same.time","vegetable.productions","united.action","manifestation","new.testament","high.degree","magnetic.influence","manifestation","grace.of.god","right.hand","spiritism","six.month","goodness.of.god","moral.sense","general.resurrection","inhabitant.of.the.earth","somnambulic.faculty","young.lady","previous.desire","progress","present.era","many.other","new.development","soft.bark","external.influence","original.cause","exterior.form","essential.principle","other.planets","other.species","other.eastern.tribe","few.minute","other.means","general.principles","white.wing","various.portion","material.body","age.of.three.year","least.particle","magnetic.medium","present.life","constitution.of.man","convulsive.movement","good.one","one.night","own.nature","separation.from.matter","same.amount","degree.of.advancement","sublime.ultimate","social.progress","mesmeric.influence","living.being","progress","present.state","one.day","two.nation","great.vortex","highest.degree","grammatical.rule","moral.reformer","vegetable.world","same.thing","birth.of.christ","moral.principle","such.man","uncultivated.intellect","perfect.harmony","human.body","progressive.development","principle.of.animal","human.soul","first.condition","spiritualist"
"10","wake.state","evil.spirit","whole.race","divine.origin","distribution.of.labor","accordance.with.the.law","whole.earth","many.instance","higher.state","number.of.people","many.person","order.of.the.animal","spirit.of.prophecy","animal.world","phenomena.of.somnambulism","whole.life","other.body","human.eye","firm.step","bad.spirits","perfect.order","interior.quality","spiritualist","human.mind","organ.of.the.sensis","spiritual.essence","particular.sense","young.girl","law.of.justice","free.will","material.world","interior.truth","application.of.moxa","great.spirit","own.house","hopeless.condition","independent.clairvoyance","same.amount","animal.kingdom","one.person","higher.state","great.deal","second.part","perfect.harmony","particle.of.matter","great.work","higher.stage","higher.form","unbounded.confidence","few.day","perfect.order","human.society","pure.spirit","general.feature","world.of.spirit","few.hour","other.nation","spiritual.nature","human.life","human.body","reality.of.these.apparition","evil.thought","existence.of.a.world","law.of.gravitation","several.work","present.day","degree.of.elevation","other.eart","third.sphere","spiritism","other.hand","immortality.of.the.soul","predominant.affection","old.man","original.inhabitant","great.body","high.degree","early.writer","amount.of.evidence","whole.system","holy.ghost","eternal.cause","human.body","existence.of.god","first.society","higher.class","mental.constitution","principle.of.intelligence","principle.of.animal.magnetism","other.human.being","whole.body","spirit.manifestation"
"11","natural.somnambulism","three.year","six.thousand.year","inhabitant.of.the.earth","direct.opposition","second.sphere","origin.of.language","next.room","general.way","law.of.association","two.year","order.of.the.animal.creation","social.unity","new.principle","scientific.world","son.of.god","great.mass","social.condition","fell.asleep","real.cause","faculty.of.wisdom","higher.form","spiritual.light","great.ocean","one.patient","material.universe","general.condition","many.year","spiritual.life","other.word","creation.of.the.spirit","principle.of.man","sitting","various.portion","public.opinion","blue.sky","sphere.of.existence","sphere.of.existence","formation.of.the.earth","effect.of.the.imagination","positive.mind","material.substance","primitive.history","inseparable.connection","first.form","spiritual.sphere","knowledge.of.nature","species.of.the.same.class","strange.event","o.clock.in.the.morning","many.century","new.heaven","rudiment.of.vocal.language","portion.of.the.world","divine.essence","progression","new.era","natural.process","higher.spirit","animal.kingdom","four.time","earth.v","young.man","general.classification","astrology","worthy.man","other.spirit","power.of.perception","lower.society","moral.code","primitive.nation","faculty.of.the.soul","material.state","medical.treatment","sectarian.prejudice","positive.power","vicarious.atonement","design.of.the.divine","property.of.matter","whole.animal","other.book","geological.history","higher.class","word.of.god","five.week","portion.of.the.earth","inhabitant.of.this.planet","great.chain","scientific.man","different.world","same.thought","physical.cause"
"12","waking.state","world.of.cause","six.day","many.portion","new.truth","eternal.truth","early.impressions","dark.spirit","proper.comprehension","ultimate.goal","long.time","incipient.stage","two.minute","other.planets","other.man","more.attention","eternal.law","primitive.family","dead.man","organic.being","unity.of.action","same.species","high.degree","great.temple","palpitation.of.the.heart","like.manner","many.form","old.man","social.life","tangible.reality","red.velvet","expansive.mind","several.time","pacific.ocean","physical.appearance","good.sense","second.sphere","vegetable.existence","chemical.action","same.thing","principle.of.motion","present.time","further.development","celestial.sphere","perfect.degree","great.tree","confidence.in.the.mind","subsequent.period","creator.of.the.universe","first.time","saurian.species","new.earth","vocal.language","christian.world","higher.sphere","future.existence","mode.of.expression","subsequent.nation","incarnation","general.appearance","same.vital.principle","material.man","first.time","heavenly.body","present.moment","immortal.truth","many.individual","true.conception","mystic.rite","holy.religion","world.at.the.present.day","many.error","test.of.truth","hundred.franc","book.of.chronicle","great.power","clear.conscience","truthful.prophecy","three.thing","human.body","miraculous.conception","divine.origin","lower.class","principle.of.life","good.intention","present.period","bosom.of.nature","successive.link","therapeutical.agent","reincarnation","perfect.degree","invisible.world"
